employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-35487660,Michelle,Wright,Female,Nairobi,Embakasi,2017-03-15,Sales,Sales Consultant,Master,100619,Satisfactory,Yes,1981-08-12,2018-05-06
00-82772208,Amanda,Taylor,Female,Bungoma,Chwele,2016-03-12,IT,Software Developer,Master,106456,Needs Improvement,No,1993-07-31,2016-11-17
00-16729990,Joshua,Wright,Male,Kisumu,Maseno,2020-12-24,Finance,Accountant,Bachelor,94606,Good,Yes,1962-10-28,2024-07-30
00-81286543,Charles,Morton,Male,Kiambu,Ruiru,2017-11-29,Marketing,Marketing Coordinator,Bachelor,62923,Good,Yes,1978-10-03,2018-05-28
00-34941004,Andrea,Williams,Male,Nairobi,Kasarani,2016-07-28,Customer Service,Support Specialist,Bachelor,61378,Good,No,1999-05-21,2017-01-24
00-41568532,Mary,Novak,Male,Nairobi,Kasarani,2019-12-26,Marketing,Content Creator,High School,62149,Satisfactory,No,1992-07-03,2020-06-23
00-87701200,Karen,Young,Female,Nairobi,Ruaraka,2020-06-06,Sales,Sales Specialist,Bachelor,89338,Excellent,No,1971-07-14,2020-12-03
00-66267415,Todd,Lewis,Male,Kisumu,Nyalenda,2022-06-05,IT,Software Developer,Bachelor,106880,Good,No,1995-03-17,2024-11-06
00-52462441,Rachel,Martin,Male,Kakamega,Kakamega,2024-01-01,Operations,Logistics Coordinator,Bachelor,67923,Satisfactory,Yes,1986-09-15,2024-06-29
00-52169044,Tricia,Baker,Female,Kisumu,Maseno,2017-11-01,Customer Service,Customer Service Manager,Master,91846,Good,No,1986-07-17,2021-03-06
00-96637649,Kristen,Mitchell,Male,Mombasa,Nyali,2017-09-28,Customer Service,Support Specialist,Bachelor,68820,Good,No,2003-06-07,2024-02-06
00-19736572,Susan,Cowan,Male,Nairobi,Kasarani,2015-08-04,Customer Service,Support Specialist,High School,71253,Good,No,1965-10-23,2017-09-29
00-23419256,Dorothy,Tucker,Female,Uasin Gishu,Turbo,2016-03-14,Sales,Sales Specialist,Master,81359,Excellent,No,1980-09-07,2016-09-10
00-45594597,Kenneth,Novak,Male,Kiambu,Ruiru,2017-08-13,IT,Software Developer,Bachelor,93883,Needs Improvement,Yes,1964-10-21,2020-03-10
00-42787299,Jill,Brown,Male,Mombasa,Changamwe,2018-05-02,Sales,Sales Specialist,Master,58543,Good,No,2002-07-04,2020-03-12
00-82909480,Brian,Silva,Female,Mombasa,Mombasa,2022-07-15,HR,Recruiter,High School,62136,Good,No,1976-11-21,2023-01-11
00-97775215,Samantha,Schmidt,Male,Nairobi,Kasarani,2020-01-23,Customer Service,Customer Service Representative,High School,59370,Good,No,1985-02-01,2022-07-30
00-84437458,Susan,Miller,Male,Kakamega,Mumias,2017-03-14,Customer Service,Support Specialist,Bachelor,65952,Excellent,No,1988-02-27,2023-04-20
00-28024248,Casey,Jones,Male,Mombasa,Changamwe,2017-12-01,Operations,Inventory Specialist,Bachelor,63970,Good,No,1980-11-30,2021-02-11
00-84252420,Joe,Wilson,Male,Nairobi,Ruaraka,2017-12-12,Customer Service,Support Specialist,High School,62075,Good,No,1972-02-27,2022-09-27
00-38270233,Ashley,Riley,Male,Kisumu,Maseno,2022-01-16,Marketing,Content Creator,High School,55855,Needs Improvement,No,1993-08-26,2022-07-15
00-95125977,Christine,Barnes,Male,Nairobi,Dagoreti,2023-08-15,Marketing,Content Creator,High School,61569,Needs Improvement,Yes,1992-11-12,2024-02-11
00-43704923,Annette,Stewart,Female,Uasin Gishu,Moiben,2023-04-12,IT,Software Developer,Master,100404,Satisfactory,No,1970-07-10,2023-10-09
00-95132217,James,Moran,Male,Kiambu,Thika,2019-04-03,Marketing,SEO Specialist,High School,87061,Good,Yes,1984-11-19,2024-09-03
00-10475894,Joseph,Anderson,Male,Nairobi,Ruaraka,2018-09-08,Customer Service,Help Desk Technician,High School,75740,Good,Yes,1976-01-13,2019-07-16
00-45159040,Kevin,Stewart,Male,Kisumu,Kisumu,2017-10-19,Operations,Logistics Coordinator,Bachelor,67173,Good,Yes,1986-09-21,2021-02-02
00-67403166,Shari,Smith,Male,Mombasa,Kisauni,2020-08-29,Operations,Inventory Specialist,Bachelor,68967,Good,No,1990-04-27,2021-02-25
00-30005727,Yolanda,Ferrell,Male,Kisumu,Nyalenda,2020-01-29,Operations,Inventory Specialist,Bachelor,66599,Good,No,1978-10-26,2020-07-27
00-84158663,Amanda,Wagner,Male,Uasin Gishu,Eldoret,2017-02-21,IT,IT Support Specialist,Bachelor,60829,Good,Yes,1980-10-23,2017-11-18
00-51373735,Sarah,Ibarra,Female,Bungoma,Kimilili,2018-12-08,Sales,Sales Consultant,Master,71965,Satisfactory,No,1995-08-18,2021-04-25
00-38195995,John,Mitchell,Male,Nairobi,Dagoreti,2022-06-20,Operations,Inventory Specialist,Bachelor,64248,Satisfactory,No,1970-10-18,2022-12-17
00-57469942,Martha,Warner,Female,Kisumu,Milimani,2023-08-26,IT,IT Support Specialist,Bachelor,59626,Good,No,1986-08-22,2024-02-22
00-30743797,Tonya,Roman,Male,Kisumu,Maseno,2024-07-24,Customer Service,Help Desk Technician,High School,63794,Good,No,1993-04-05,2025-01-20
00-31810617,Alan,Montoya,Female,Nairobi,Embakasi,2024-04-26,IT,Software Developer,Master,92354,Satisfactory,Yes,1982-02-24,2024-10-23
00-13326769,Sarah,Garcia,Female,Nairobi,Dagoreti,2017-12-08,Sales,Sales Representative,Bachelor,71714,Good,Yes,1993-12-24,2018-06-06
00-65259205,Dennis,Wilson,Male,Kiambu,Limuru,2023-02-11,Customer Service,Customer Service Representative,High School,66628,Needs Improvement,Yes,1985-03-29,2023-08-10
00-43308443,Julia,Moore,Male,Kisumu,Kondele,2017-04-20,Customer Service,Customer Service Representative,High School,58107,Good,Yes,1988-10-14,2024-12-19
00-61343880,Cassandra,Robbins,Male,Nairobi,Kasarani,2023-03-21,Operations,Inventory Specialist,High School,63873,Satisfactory,No,1990-05-27,2023-09-17
00-36786211,Grace,Farrell,Male,Kisumu,Kondele,2023-07-16,IT,IT Support Specialist,High School,63983,Good,No,1981-07-14,2024-01-12
00-50962024,Tracy,Whitehead,Male,Nairobi,Embakasi,2023-11-25,IT,IT Support Specialist,High School,58746,Satisfactory,Yes,1976-06-16,2024-05-23
00-13176186,Brent,Walters,Male,Bungoma,Bungoma,2022-11-19,Customer Service,Customer Service Manager,Master,83655,Excellent,Yes,1976-08-07,2023-05-18
00-47393469,Joshua,Smith,Male,Nakuru,Gilgil,2023-10-27,Customer Service,Support Specialist,High School,61196,Satisfactory,No,1982-02-15,2024-04-24
00-96098221,David,Whitney,Female,Kakamega,Malava,2020-03-03,Customer Service,Customer Service Representative,Bachelor,55211,Needs Improvement,No,1990-11-03,2020-08-30
00-81969657,Joyce,Arnold,Male,Kiambu,Limuru,2018-06-16,Sales,Sales Representative,Bachelor,60087,Needs Improvement,No,1991-10-02,2022-04-07
00-45059710,Ann,Rodriguez,Male,Kiambu,Kikuyu,2017-12-09,Sales,Sales Specialist,Bachelor,73899,Excellent,No,1971-12-20,2019-06-12
00-24549543,Hannah,Hernandez,Female,Kisumu,Kisumu,2020-01-14,Customer Service,Help Desk Technician,Bachelor,61804,Needs Improvement,No,1996-03-20,2020-07-12
00-52101056,Mary,Aguilar,Male,Uasin Gishu,Eldoret,2019-02-27,Sales,Sales Representative,Bachelor,67848,Needs Improvement,No,1986-04-25,2019-08-26
00-61700055,Russell,Williams,Male,Mombasa,Nyali,2023-05-22,Sales,Sales Specialist,PhD,52989,Satisfactory,No,1987-07-10,2023-11-18
00-15957459,Rachel,Flynn,Male,Kakamega,Mumias,2022-12-01,IT,Software Developer,Bachelor,101868,Excellent,Yes,1985-06-12,2023-05-30
00-82269803,Bill,Howard,Male,Nairobi,Ruaraka,2022-09-22,Customer Service,Support Specialist,High School,62490,Satisfactory,No,1984-03-15,2023-03-21
00-36445607,John,Garcia,Female,Bungoma,Chwele,2018-10-30,Operations,Logistics Coordinator,Bachelor,56931,Needs Improvement,No,1978-12-13,2021-08-25
00-54318698,Anita,Baxter,Female,Kiambu,Kiambu,2021-08-30,Operations,Operations Analyst,Bachelor,56858,Satisfactory,No,1976-01-27,2022-02-26
00-26726926,Kara,Frost,Female,Nairobi,Embakasi,2022-04-02,Customer Service,Customer Service Representative,High School,61093,Satisfactory,No,1991-01-11,2022-09-29
00-51511484,Michelle,Cherry,Male,Bungoma,Naitiri,2022-11-11,Sales,Sales Representative,Bachelor,77049,Good,No,1974-02-01,2023-05-10
00-49682169,Gregory,Gutierrez,Male,Mombasa,Kisauni,2020-03-10,Marketing,Content Creator,High School,59089,Good,Yes,1997-03-15,2020-09-06
00-99245317,Jill,Cook,Female,Nairobi,Kasarani,2024-12-27,Customer Service,Support Specialist,Bachelor,53144,Good,No,1976-02-08,2025-06-25
00-33357554,Robert,Santiago,Male,Nairobi,Kasarani,2021-10-13,IT,Software Developer,Bachelor,92595,Satisfactory,No,1992-09-30,2022-04-11
00-83542887,Lisa,Adams,Female,Kisumu,Maseno,2023-11-02,Marketing,SEO Specialist,High School,65329,Good,No,1997-01-03,2024-04-30
00-38210242,Jacqueline,Reyes,Male,Mombasa,Mombasa,2019-01-16,Sales,Sales Specialist,PhD,60354,Excellent,No,1998-01-05,2019-07-15
00-97873101,Michele,Walker,Male,Nairobi,Kasarani,2018-11-14,Marketing,Marketing Manager,PhD,89110,Excellent,No,1962-06-05,2022-02-04
00-38682516,Samantha,Bailey,Female,Nakuru,Nakuru,2020-11-14,Operations,Logistics Coordinator,Bachelor,57355,Excellent,No,1976-06-02,2021-05-13
00-98429450,Laura,Perez,Male,Uasin Gishu,Turbo,2016-01-10,Finance,Accountant,Bachelor,65620,Needs Improvement,No,1987-11-01,2021-10-20
00-94951883,Donna,Ross,Female,Mombasa,Mombasa,2021-04-19,IT,IT Manager,Master,108304,Satisfactory,No,2001-11-27,2022-04-27
00-41523529,Michelle,Rasmussen,Female,Kisumu,Maseno,2022-04-19,Sales,Sales Specialist,Bachelor,58490,Good,Yes,1979-11-13,2022-10-16
00-36726767,Michael,Hicks,Female,Nairobi,Nairobi,2017-09-21,Sales,Sales Consultant,Master,79998,Satisfactory,No,1998-02-04,2024-04-01
00-73771720,Tina,Herrera,Male,Bungoma,Kimilili,2021-01-11,Marketing,Content Creator,Bachelor,65928,Good,No,1995-10-02,2021-07-10
00-65625330,Darrell,Waller,Female,Kisumu,Kondele,2023-03-11,Operations,Logistics Coordinator,Bachelor,61893,Good,No,1975-12-28,2023-09-07
00-61536717,Beverly,Terrell,Male,Nairobi,Embakasi,2020-01-15,Marketing,Marketing Coordinator,Bachelor,59440,Good,No,2001-01-22,2020-07-13
00-98054615,Daniel,Hamilton,Female,Nairobi,Nairobi,2022-10-10,Operations,Inventory Specialist,High School,55426,Satisfactory,No,1980-02-02,2023-04-08
00-67062156,Kristin,Graham,Female,Nakuru,Naivasha,2017-07-18,Operations,Operations Analyst,Bachelor,58963,Satisfactory,No,1981-09-08,2021-11-22
00-72350830,Darrell,Lam,Male,Nakuru,Gilgil,2016-03-14,Operations,Operations Analyst,Bachelor,77066,Satisfactory,No,1986-07-07,2018-07-25
00-26288475,Jonathan,Fletcher,Female,Kisumu,Milimani,2019-01-01,Sales,Sales Consultant,PhD,105313,Good,No,1992-06-26,2024-08-20
00-81287314,April,Drake,Male,Kakamega,Butere,2024-09-23,Operations,Logistics Coordinator,Bachelor,63251,Good,Yes,1999-11-05,2025-03-22
00-69401199,Jennifer,Harmon,Female,Nakuru,Nakuru,2021-09-18,Customer Service,Support Specialist,High School,54487,Satisfactory,No,1976-07-26,2022-03-17
00-67276174,James,Reynolds,Male,Nairobi,Kasarani,2023-09-15,Customer Service,Customer Service Representative,High School,57401,Needs Improvement,Yes,1991-01-30,2024-03-13
00-31361812,Samantha,Hanson,Male,Uasin Gishu,Moiben,2022-09-15,Marketing,Content Creator,High School,58435,Satisfactory,No,1990-02-14,2023-03-14
00-44788100,Melanie,Cortez,Male,Bungoma,Chwele,2022-04-27,Operations,Operations Analyst,Master,59486,Good,No,1987-03-14,2022-10-24
00-79967676,William,Estrada,Female,Uasin Gishu,Soy,2019-05-07,Marketing,Marketing Coordinator,Bachelor,59381,Good,No,1993-03-25,2020-08-24
00-69038700,Richard,Phillips,Female,Bungoma,Kimilili,2016-02-19,IT,Software Developer,Bachelor,81631,Good,No,1968-10-25,2017-10-26
00-46468984,James,Ortega,Male,Nairobi,Ruaraka,2018-05-28,Operations,Logistics Coordinator,Bachelor,70928,Good,No,1981-11-30,2024-05-13
00-28572252,Erica,Orr,Male,Mombasa,Kisauni,2017-08-28,Operations,Inventory Specialist,High School,57735,Good,Yes,1987-12-07,2022-11-06
00-30509175,Ashley,Sullivan,Female,Kakamega,Mumias,2022-11-20,Customer Service,Help Desk Technician,Bachelor,71553,Good,No,1976-10-28,2023-05-19
00-64707061,Aaron,Mitchell,Male,Uasin Gishu,Turbo,2018-06-16,Operations,Inventory Specialist,Bachelor,62693,Good,No,2001-06-14,2018-12-13
00-18357162,Kristi,Lawson,Male,Mombasa,Kisauni,2017-05-06,IT,Software Developer,Master,80133,Satisfactory,No,1962-02-27,2017-11-02
00-88393811,Steven,Ramos,Female,Kiambu,Kiambu,2024-03-23,Operations,Logistics Coordinator,Bachelor,56291,Good,Yes,1990-06-06,2024-09-19
00-87267850,William,Leon,Female,Nairobi,Embakasi,2018-11-06,Operations,Inventory Specialist,High School,57426,Satisfactory,No,1983-11-18,2019-05-05
00-50079111,Jill,Hopkins,Female,Kakamega,Butere,2022-04-21,Customer Service,Customer Service Representative,Bachelor,58764,Satisfactory,No,1993-09-03,2024-06-09
00-83300637,Zachary,Schultz,Female,Nairobi,Embakasi,2023-05-11,Operations,Inventory Specialist,High School,54356,Good,No,1999-11-03,2023-11-07
00-39450273,Clarence,Crane,Male,Nairobi,Kasarani,2017-04-02,Customer Service,Customer Service Manager,PhD,81770,Satisfactory,No,1972-11-03,2017-09-29
00-62191530,Emily,Walker,Male,Uasin Gishu,Eldoret,2018-03-19,Operations,Inventory Specialist,High School,67183,Good,No,1965-04-13,2018-09-15
00-64266464,Dylan,Williams,Male,Kiambu,Thika,2022-07-04,Operations,Inventory Specialist,Bachelor,71088,Good,No,1994-12-28,2022-12-31
00-93517915,Cheryl,Mack,Female,Nairobi,Embakasi,2020-06-25,Customer Service,Help Desk Technician,High School,82404,Satisfactory,Yes,1989-10-08,2020-12-22
00-85751409,Robert,Soto,Male,Mombasa,Changamwe,2022-03-17,Sales,Sales Consultant,Bachelor,87814,Good,Yes,1988-05-24,2022-09-13
00-67527432,Jennifer,Cruz,Female,Kisumu,Milimani,2017-06-05,Customer Service,Support Specialist,High School,56708,Good,No,1995-08-10,2021-12-17
00-16749089,John,Douglas,Female,Mombasa,Changamwe,2017-01-03,Marketing,Content Creator,High School,58033,Good,No,1975-05-11,2021-09-24
00-71028710,Patricia,Dalton,Female,Nairobi,Dagoreti,2018-12-10,Operations,Inventory Specialist,High School,56280,Satisfactory,No,1981-08-25,2021-05-23
00-66581473,Daniel,Coleman,Female,Uasin Gishu,Eldoret,2017-03-10,Operations,Logistics Coordinator,Bachelor,53807,Satisfactory,No,1963-12-06,2024-05-07
00-12601580,Linda,Dominguez,Male,Mombasa,Kisauni,2022-06-30,Operations,Inventory Specialist,Bachelor,62260,Excellent,No,1983-02-17,2022-12-27
00-40094589,Brent,Wright,Male,Nairobi,Nairobi,2022-11-26,Sales,Sales Representative,Bachelor,71964,Good,No,1975-03-23,2023-05-25
00-14164775,David,Anderson,Male,Nairobi,Nairobi,2024-06-29,Customer Service,Support Specialist,Bachelor,73752,Excellent,No,1972-07-18,2024-12-26
00-12735359,Elizabeth,Travis,Female,Nairobi,Nairobi,2021-08-20,Customer Service,Customer Service Representative,High School,56748,Excellent,No,1996-12-08,2022-02-16
